"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4500,-7029.90451198132,8341.138,89.17653,89.97917,13678.201
1921-12-31,17183.9045161833,-5290.32258064516,13678.201,89.97917,78.71154,3486.2234
1922-01-31,19027.547293422,-4516.12903225806,3486.2234,78.71154,67.94856,2135.2395
1922-02-28,61656.0575747803,-4156.25,2135.2395,67.94856,55.837837,902.65375
1922-03-31,44347.6537388823,-3500,902.65375,55.837837,56.79039,329.35974
1922-04-30,35696.6714602143,-1152.28445619064,329.35974,56.79039,59.00942,482.38168
1922-05-31,33727.9772317462,-1974.18614806498,482.38168,59.00942,59.955784,590.69946
1922-06-30,9000,-4307.55063501937,590.69946,59.955784,72.63379,2257.907
1922-07-31,8325.26881722581,-9138.26252084506,2257.907,72.63379,81.34715,2882.497
1922-08-31,4000,-10821.0713506109,2882.497,81.34715,86.28906,5417.2686
1922-09-30,6229.38856093799,-8566.29073437512,5417.2686,86.28906,86.58715,11241.327
1922-10-31,4299.27479400673,-9313.49970290816,11241.327,86.58715,87.41001,13264.14
1922-11-30,7179.19600839431,-7989.4785296505,13264.14,87.41001,87.7929,7210.1763
1922-12-31,43090.9917301223,-5290.32258064516,7210.1763,87.7929,61.91172,3642.9038
1923-01-31,33357.9555666386,-4516.12903225806,3642.9038,61.91172,59.777874,636.8511
1923-02-28,19390.0394542989,-4033.03571428571,636.8511,59.777874,64.73817,1124.5599
1923-03-31,12025.807,-3036.86697997996,1124.5599,64.73817,72.08333,2733.5808
1923-04-30,24203.492142801,-2781.87806672675,2733.5808,72.08333,66.13965,2954.1028
1923-05-31,14784.638895343,-2153.15198709021,2954.1028,66.13965,69.35547,2350.117
1923-06-30,5000,-4362.26301153428,2350.117,69.35547,81.06531,5142.151
1923-07-31,9315.99978613095,-9163.88027765377,5142.151,81.06531,82.83907,4133.2886
1923-08-31,4000,-8970.23180032346,4133.2886,82.83907,86.33068,5199.176
1923-09-30,4682.69060659225,-7536.87678347131,5199.176,86.33068,88.35496,12062.905
1923-10-31,4000,-6762.24241025451,12062.905,88.35496,90.31489,9150.732
1923-11-30,6428.21375155845,-5563.93356845771,9150.732,90.31489,89.83276,8856.186
1923-12-31,7000.61313645592,-2325.0293816948,8856.186,89.83276,87.5961,6798.7656
1924-01-31,9068.54372767522,-5000,6798.7656,87.5961,85.31435,5608.713
1924-02-29,13002.8001739319,-4955,5608.713,85.31435,79.7505,2968.7651
1924-03-31,7102.93139025626,-1380.79188542952,2968.7651,79.7505,80.60381,4933.3247
1924-04-30,4937.66080197457,-688.999173142425,4933.3247,80.60381,85.78755,10179.203
1924-05-31,4354.58064516775,-1541.99799167699,10179.203,85.78755,90.507355,8087.8574
1924-06-30,4134.74667617247,-1583.08225462345,8087.8574,90.507355,91.940506,12461.681
1924-07-31,3000,-1915.657772478,12461.681,91.940506,93.26829,15961.799
1924-08-31,3000,-2599.60678306427,15961.799,93.26829,93.853424,17992.717
1924-09-30,3857.37070719734,-1986.81688989197,17992.717,93.853424,92.490036,11574.247
1924-10-31,3642.01301848892,-5458.09361787576,11574.247,92.490036,93.02927,11119.89
1924-11-30,5794.96158050711,-2788.79911631228,11119.89,93.02927,92.16456,11094.767
1924-12-31,9225.33405912136,-3800.4991261274,11094.767,92.16456,87.14011,7353.3657
1925-01-31,8448.61378067937,-5000,7353.3657,87.14011,84.446686,4483.0815
1925-02-28,75443.2216456053,-4427.32142857143,4483.0815,84.446686,56.70933,807.67194
1925-03-31,17669.355,-3935,807.67194,56.70933,64.39512,844.3627
1925-04-30,26036.5229614616,-2158.42317449153,844.3627,64.39512,63.550716,1390.987
1925-05-31,13464.2281703636,-1794.98520303865,1390.987,63.550716,69.91674,2265.5212
1925-06-30,6628.125,-4437.77178327449,2265.5212,69.91674,80.42967,5523.804
1925-07-31,5000,-7289.96591135682,5523.804,80.42967,85.46956,9910.358
1925-08-31,3500,-3645.73575151134,9910.358,85.46956,88.72334,13725.978
1925-09-30,3000.43243227009,-6258.55593656975,13725.978,88.72334,92.26686,9961.7705
1925-10-31,4000,-4122.96769072119,9961.7705,92.26686,92.74547,10349.741
1925-11-30,5296.86662924401,-3817.62980945378,10349.741,92.74547,92.1687,9934.682
1925-12-31,6412.26341694518,-3078.61763399363,9934.682,92.1687,90.81149,8215.414
1926-01-31,14056.9024228642,-5000,8215.414,90.81149,81.36832,3296.4033
1926-02-28,42059.6454060734,-4427.32142857143,3296.4033,81.36832,60.25104,1145.4382
1926-03-31,17755.1618893141,-3935,1145.4382,60.25104,65.222565,1014.6453
1926-04-30,21151.1130045043,-1998.92880946307,1014.6453,65.222565,65.9039,1800.5432
1926-05-31,11759.1933681273,-2750.69031721181,1800.5432,65.9039,72.79823,2856.7937
1926-06-30,7100,-5000,2856.7937,72.79823,80.98948,5852.663
