"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4500,-8618.63496305858,6100.4507,80.06121,82.99984,7052.4263
1921-12-31,17032.7683958214,-5290.32258064516,7052.4263,82.99984,75.47775,7729.984
1922-01-31,18913.8308226757,-4516.12903225806,7729.984,75.47775,67.57236,3042.0876
1922-02-28,59569.611400194,-4156.25,3042.0876,67.57236,56.085243,922.584
1922-03-31,42949.5587279146,-3500,922.584,56.085243,57.063942,337.11957
1922-04-30,34964.8340345633,-1152.82528228948,337.11957,57.063942,59.220665,503.10776
1922-05-31,33702.5402491807,-1974.17493588896,503.10776,59.220665,59.99465,603.8412
1922-06-30,9000,-4307.45488122707,603.8412,59.99465,72.639534,2260.5413
1922-07-31,16406.25,-7203.31340877366,2260.5413,72.639534,74.04435,1427.1786
1922-08-31,14375,-10783.3347371242,1427.1786,74.04435,74.00561,957.89667
1922-09-30,6250,-7075.43595776701,957.89667,74.00561,79.99191,4283.8115
1922-10-31,10937.5,-4196.27306153293,4283.8115,79.99191,79.978775,7822.1626
1922-11-30,7594.53221292432,-8692.18312753135,7822.1626,79.978775,81.12154,7529.0347
1922-12-31,38784.3532428071,-5290.32258064516,7529.0347,81.12154,62.133068,3942.4263
1923-01-31,33241.6885728875,-4516.12903225806,3942.4263,62.133068,59.98362,730.3238
1923-02-28,19336.2620885857,-4033.03571428571,730.3238,59.98362,64.77471,1129.1418
1923-03-31,12120.5290880595,-3500,1129.1418,64.77471,71.8907,2704.2947
1923-04-30,23354.3228527142,-2783.62948048376,2704.2947,71.8907,66.53424,3012.2368
1923-05-31,12481.5429606965,-2121.40521071594,3012.2368,66.53424,71.54887,2771.6938
1923-06-30,6562.5,-5000,2771.6938,71.54887,80.94399,5505.541
1923-07-31,7898.40095134782,-8897.74126313601,5505.541,80.94399,83.59589,4230.054
1923-08-31,4000,-8364.11157834816,4230.054,83.59589,87.2628,5786.025
1923-09-30,4306.20930947504,-6353.4027031892,5786.025,87.2628,89.8636,8431.523
1923-10-31,4000,-4791.58767277723,8431.523,89.8636,91.511154,9576.179
1923-11-30,5719.82371903964,-4355.46757942305,9576.179,91.511154,91.28637,9579.626
1923-12-31,6451.52866427409,-3085.5014063828,9579.626,91.28637,89.20536,8127.604
1924-01-31,9404.97085686911,-4671.17470146705,8127.604,89.20536,85.74244,5725.412
1924-02-29,12956.3325258217,-4955,5725.412,85.74244,79.9242,2813.435
1924-03-31,7102.92102818188,-1349.99081043855,2813.435,79.9242,80.64579,4932.874
1924-04-30,4914.78525406043,-690.419800388955,4932.874,80.64579,85.806274,10200.783
1924-05-31,4354.58064516775,-1526.46141749208,10200.783,85.806274,90.52724,8097.8926
1924-06-30,4147.26093326541,-1584.14963776347,8097.8926,90.52724,91.93584,12466.616
1924-07-31,3000,-1917.02351930978,12466.616,91.93584,93.26076,15952.051
1924-08-31,3000,-2680.51915745554,15952.051,93.26076,93.852066,17961.39
1924-09-30,3857.37070719734,-1926.54559180941,17961.39,93.852066,92.48947,11577.228
1924-10-31,3626.24522605136,-5470.62348512915,11577.228,92.48947,93.04576,11132.405
1924-11-30,5799.68656487125,-2784.37133885474,11132.405,93.04576,92.17308,11103.123
1924-12-31,9212.58678642952,-3808.85518496111,11103.123,92.17308,87.15579,7359.057
1925-01-31,8443.3262011284,-5000,7359.057,87.15579,84.46395,4491.19
1925-02-28,74646.8555510839,-4427.32142857143,4491.19,84.46395,56.77457,811.2705
1925-03-31,17669.355,-3935,811.2705,56.77457,64.40505,845.03375
1925-04-30,25929.0394998455,-2164.5174577729,845.03375,64.40505,63.59342,1397.8156
1925-05-31,13589.7027883774,-1764.37658132884,1397.8156,63.59342,69.82522,2258.8198
1925-06-30,6477.0835,-4499.42214590092,2258.8198,69.82522,80.49898,5524.5225
1925-07-31,5000,-7223.04284014926,5524.5225,80.49898,85.5627,9991.524
1925-08-31,3500,-3637.87246593531,9991.524,85.5627,88.747185,13787.528
1925-09-30,3010.057130486,-6247.85360769321,13787.528,88.747185,92.27578,9978.69
1925-10-31,4000,-4119.96423565545,9978.69,92.27578,92.743645,10346.106
1925-11-30,5295.96769067344,-3811.08806219227,10346.106,92.743645,92.16706,9935.708
1925-12-31,6246.31733662841,-2977.91850697624,9935.708,92.16706,91.00227,8340.319
1926-01-31,14024.1852273202,-5000,8340.319,91.00227,81.53392,3377.9636
1926-02-28,42012.2938941241,-4427.32142857143,3377.9636,81.53392,60.27944,1153.5731
1926-03-31,17755.5752983894,-3935,1153.5731,60.27944,65.2242,1015.73663
1926-04-30,21146.5350823705,-1997.13581472205,1015.73663,65.2242,65.906136,1801.2379
1926-05-31,11760.3435172777,-2747.34640896831,1801.2379,65.906136,72.79839,2857.4734
1926-06-30,7100,-5000,2857.4734,72.79839,80.98884,5852.795
1926-07-31,5000,-5832.73610078968,5852.795,80.98884,85.331,10312.782
1926-08-31,3500,-2971.26412077619,10312.782,85.331,88.94385,13609.076
1926-09-30,3000,-4962.76454652436,13609.076,88.94385,92.39901,10502.032
1926-10-31,4324.88850867444,-2754.98900811931,10502.032,92.39901,92.44596,10514.812
1926-11-30,15689.7661533836,-8631.37204576615,10514.812,92.44596,80.48283,3901.856
1926-12-31,11819.381137314,-5290.32258064516,3901.856,80.48283,75.39543,3314.0857
1927-01-31,33874.4928611576,-4516.12903225806,3314.0857,75.39543,62.4783,2323.157
1927-02-28,167309.613504005,-4156.25,2323.157,62.4783,51.706154,301.77097
1927-03-31,50491.1429701999,-3500,301.77097,51.706154,55.929558,238.77637
1927-04-30,49386.7008862439,-3728.76250257956,238.77637,55.929558,56.259804,288.92758
1927-05-31,17508.8708830199,-2593.25785751964,288.92758,56.259804,65.649994,978.94104
1927-06-30,7324.09562454347,-4689.43333331279,978.94104,65.649994,77.69899,3776.7842
1927-07-31,16250,-7952.39006022142,3776.7842,77.69899,73.956184,5911.6113
1927-08-31,11250,-11442.2921807469,5911.6113,73.956184,73.98674,4258.7847
1927-09-30,7187.5,-4159.39486811782,4258.7847,73.98674,79.934654,5809.479
1927-10-31,9843.75,-3932.44290801453,5809.479,79.934654,80.05899,8199.94
1927-11-30,5548.64465341794,-9493.06831513409,8199.94,80.05899,83.5627,8898.04
1927-12-31,5733.81038222003,-9754.62017634693,8898.04,83.5627,86.47391,11063.983
1928-01-31,18474.5504664031,-3645.16129032258,11063.983,86.47391,75.72541,2588.739
1928-02-29,19214.1768880622,-4172.41379310345,2588.739,75.72541,67.19415,1521.6383
1928-03-31,81958.8148213027,-3500,1521.6383,67.19415,54.53529,471.3153
1928-04-30,30919.03053064,-2249.31425116502,471.3153,54.53529,59.842327,428.01028
1928-05-31,13566.5237438456,-2332.18233016788,428.01028,59.842327,69.34414,1829.2649
1928-06-30,7893.33938567165,-4689.4333333128,1829.2649,69.34414,78.91789,5055.362
1928-07-31,17500,-8683.64824520141,5055.362,78.91789,74.069565,1755.856
