"Date","OUTFLOW","OMR","BD_EC_prev","X2_prev","X2_current","BD_EC_current"
1921-11-30,4500,-7029.90451198132,8341.138,89.17653,89.97917,13678.201
1921-12-31,17183.9045161833,-5290.32258064516,13678.201,89.97917,78.71154,3486.2234
1922-01-31,19027.547293422,-4516.12903225806,3486.2234,78.71154,67.94856,2135.2395
1922-02-28,61656.0575747803,-4156.25,2135.2395,67.94856,55.837837,902.65375
1922-03-31,44347.6537388823,-3500,902.65375,55.837837,56.79039,329.35974
1922-04-30,35696.6714602143,-1152.28445619064,329.35974,56.79039,59.00942,482.38168
1922-05-31,33727.9772317462,-1974.18614806498,482.38168,59.00942,59.955784,590.69946
1922-06-30,9000,-4307.55063501937,590.69946,59.955784,72.63379,2257.907
1922-07-31,16406.25,-7201.82538454321,2257.907,72.63379,74.04075,1428.8783
1922-08-31,14375,-10790.2279861227,1428.8783,74.04075,74.005165,957.9869
1922-09-30,4370.61130013096,-8383.63232092605,957.9869,74.005165,81.64479,4802.0054
1922-10-31,4000,-7745.4276473118,4802.0054,81.64479,88.496376,11359.463
1922-11-30,7011.7186948565,-7706.13084047502,11359.463,88.496376,87.92641,6731.4546
1922-12-31,38883.5911124784,-5290.32258064516,6731.4546,87.92641,63.080948,4044.9434
1923-01-31,33247.5915222277,-4516.12903225806,4044.9434,63.080948,59.95082,716.882
1923-02-28,19340.1465803396,-4033.03571428571,716.882,59.95082,64.76697,1137.7208
1923-03-31,12120.5296679886,-3500,1137.7208,64.76697,72.01104,2734.6775
1923-04-30,23771.3269388812,-2783.1106686065,2734.6775,72.01104,66.31857,2974.5134
1923-05-31,11001.7997526649,-2120.9226641456,2974.5134,66.31857,72.84034,2953.5845
1923-06-30,7100,-5000,2953.5845,72.84034,81.301765,5883.333
1923-07-31,7521.77025830784,-8876.37274849142,5883.333,81.301765,83.803024,4277.175
1923-08-31,4000,-8744.54356449236,4277.175,83.803024,87.58847,5926.5693
1923-09-30,4646.0895239244,-6614.68631124258,5926.5693,87.58847,89.60349,8198.214
1923-10-31,4000,-5900.298095711,8198.214,89.60349,91.25386,9240.806
1923-11-30,6444.27842473842,-5514.07521440014,9240.806,91.25386,90.390175,8827.995
1923-12-31,5998.62090011877,-3194.01187601716,8827.995,90.390175,88.943115,7737.005
1924-01-31,10086.5446376471,-4044.60665209232,7737.005,88.943115,85.14382,5573.47
1924-02-29,12973.9332067401,-4955,5573.47,85.14382,79.4652,2635.1802
1924-03-31,7102.92427518756,-1357.96137660227,2635.1802,79.4652,80.612976,4876.019
1924-04-30,4921.23235051606,-689.954424084235,4876.019,80.612976,85.791855,10167.8
1924-05-31,4354.58064516777,-1530.86074834726,10167.8,85.791855,90.526596,8087.1562
1924-06-30,4143.93008825732,-1583.79242735777,8087.1562,90.526596,91.93681,12465.143
1924-07-31,3000,-1916.66390494115,12465.143,91.93681,93.2627,15954.633
1924-08-31,3000,-2679.67375596887,15954.633,93.2627,93.85243,17963.016
1924-09-30,3857.37070719734,-1969.74870168464,17963.016,93.85243,92.48963,11567.15
1924-10-31,3630.78165649686,-5472.09923007382,11567.15,92.48963,93.041,11126.604
1924-11-30,5796.50732926745,-2787.07875687669,11126.604,93.041,92.172615,11098.936
1924-12-31,9211.75413074942,-3806.62250724573,11098.936,92.172615,87.15821,7360.2314
1925-01-31,8441.31817067949,-5000,7360.2314,87.15821,84.46687,4492.375
1925-02-28,75190.2837700941,-4427.32142857143,4492.375,84.46687,56.731518,809.5419
1925-03-31,17669.355,-3935,809.5419,56.731518,64.39825,844.30597
1925-04-30,26029.8349519564,-2158.75640022332,844.30597,64.39825,63.553112,1391.2594
1925-05-31,13480.7221452908,-1798.46978093311,1391.2594,63.553112,69.90361,2264.9822
1925-06-30,6628.125,-4407.31796970242,2264.9822,69.90361,80.42113,5521.8438
1925-07-31,5000,-7318.5953959055,5521.8438,80.42113,85.46905,9913.186
1925-08-31,3500,-3646.14130883856,9913.186,85.46905,88.72119,13732.354
1925-09-30,3005.68487242328,-6251.9020035316,13732.354,88.72119,92.26092,9965.806
1925-10-31,4000,-4120.41581049188,9965.806,92.26092,92.74082,10348.07
1925-11-30,5294.97890497835,-3815.26153597823,10348.07,92.74082,92.16931,9935.691
1925-12-31,6250.10494532482,-2979.33035529837,9935.691,92.16931,90.99938,8337.757
1926-01-31,14028.9241772358,-5000,8337.757,90.99938,81.52674,3374.919
1926-02-28,42032.0240608369,-4427.32142857143,3374.919,81.52674,60.273403,1152.2902
1926-03-31,17755.5720207801,-3935,1152.2902,60.273403,65.223366,1015.40295
1926-04-30,21145.4078434283,-1997.58090496689,1015.40295,65.223366,65.90679,1801.1725
1926-05-31,11759.7618654321,-2749.03748564354,1801.1725,65.90679,72.79924,2857.6406
1926-06-30,7100,-4999.99999999999,2857.6406,72.79924,80.989204,5852.947
