"Date","OUTFLOW","OMR","BD_EC_prev","X2","BD_EC_current","scenario","year","month"
1921-11-30,4500,-8618.63496305858,6100.4507,82.99984,7052.4263,"AltF80",1921,11
1921-12-31,17032.7683958214,-5290.32258064516,7052.4263,75.47775,7729.984,"AltF80",1921,12
1922-01-31,18913.8308226757,-4516.12903225806,7729.984,67.57236,3042.0876,"AltF80",1922,1
1922-02-28,59569.611400194,-4156.25,3042.0876,56.085243,922.584,"AltF80",1922,2
1922-03-31,42949.5587279146,-3500,922.584,57.063942,337.11957,"AltF80",1922,3
1922-04-30,34964.8340345633,-1152.82528228948,337.11957,59.220665,503.10776,"AltF80",1922,4
1922-05-31,33702.5402491807,-1974.17493588896,503.10776,59.99465,603.8412,"AltF80",1922,5
1922-06-30,9000,-4307.45488122707,603.8412,72.639534,2260.5413,"AltF80",1922,6
1922-07-31,8325.26881722581,-9137.23024996344,2260.5413,81.35124,2878.6199,"AltF80",1922,7
1922-08-31,6400.85622148438,-9285.54188158664,2878.6199,83.9539,4237.8726,"AltF80",1922,8
1922-09-30,11093.75,-8644.73541543691,4237.8726,79.95173,7309.3145,"AltF80",1922,9
1922-10-31,8125,-4682.53949771467,7309.3145,80.01473,7531.416,"AltF80",1922,10
1922-11-30,7594.53221292432,-8692.18312753135,7531.416,82.971565,8776.973,"AltF80",1922,11
1922-12-31,40891.0861262727,-5290.32258064516,8776.973,61.60073,3872.484,"AltF80",1922,12
1923-01-31,33264.5291315942,-4516.12903225806,3872.484,59.89997,691.3866,"AltF80",1923,1
1923-02-28,19325.0716681103,-4033.03571428571,691.3866,64.778114,1126.0916,"AltF80",1923,2
1923-03-31,12120.5296651034,-3500,1126.0916,71.8911,2705.6687,"AltF80",1923,3
1923-04-30,24311.8762097702,-2782.3026527577,2705.6687,66.04967,2927.0554,"AltF80",1923,4
1923-05-31,14784.0037488603,-2153.23639832077,2927.0554,69.33539,2338.671,"AltF80",1923,5
1923-06-30,5000,-4369.32612000019,2338.671,81.06485,5152.9,"AltF80",1923,6
1923-07-31,9850.05945922854,-9705.06875648669,5152.9,82.34934,3928.7107,"AltF80",1923,7
1923-08-31,4000,-9420.24622993781,3928.7107,85.9866,4957.82,"AltF80",1923,8
1923-09-30,4160.16938496294,-6739.77481874796,4957.82,88.76335,12078.468,"AltF80",1923,9
1923-10-31,4000,-5968.12884904805,12078.468,90.68592,9620.331,"AltF80",1923,10
1923-11-30,5875.45432576545,-4679.61113266119,9620.331,90.60033,9533.412,"AltF80",1923,11
1923-12-31,6273.86701224693,-2956.01579259413,9533.412,88.98703,7989.702,"AltF80",1923,12
1924-01-31,9748.57211773541,-4576.04573769143,7989.702,85.51565,5698.355,"AltF80",1924,1
1924-02-29,12857.0109200238,-4955,5698.355,79.81957,2740.0305,"AltF80",1924,2
1924-03-31,7102.92864199609,-1366.04463516348,2740.0305,80.68906,4942.5415,"AltF80",1924,3
1924-04-30,4935.41035570378,-689.661135041399,4942.5415,85.784256,10197.53,"AltF80",1924,4
1924-05-31,4354.58064516777,-1540.0186801379,10197.53,90.51584,8091.0874,"AltF80",1924,5
1924-06-30,4144.88080359758,-1583.55367328023,8091.0874,91.934906,12461.427,"AltF80",1924,6
1924-07-31,3000,-1916.49465527187,12461.427,93.260086,15951.926,"AltF80",1924,7
1924-08-31,3000,-2679.06117439771,15951.926,93.85195,17961.113,"AltF80",1924,8
1924-09-30,3857.37070719735,-1932.28975798571,17961.113,92.48958,11575.071,"AltF80",1924,9
1924-10-31,3627.65978934822,-5474.29936875482,11575.071,93.044334,11130.32,"AltF80",1924,10
1924-11-30,5800.32050337455,-2789.18789360032,11130.32,92.17116,11098.542,"AltF80",1924,11
1924-12-31,9216.98606273572,-3814.50594140238,11098.542,87.1496,7354.2417,"AltF80",1924,12
1925-01-31,8452.74050460918,-5000,7354.2417,84.450775,4484.453,"AltF80",1925,1
1925-02-28,74870.2308724356,-4427.32142857143,4484.453,56.75446,809.474,"AltF80",1925,2
1925-03-31,17669.355,-3935,809.474,64.40224,845.12915,"AltF80",1925,3
1925-04-30,26042.1694094618,-2158.42359457355,845.12915,63.54773,1391.3593,"AltF80",1925,4
1925-05-31,13481.6791775589,-1798.60943361688,1391.3593,69.901146,2263.4814,"AltF80",1925,5
1925-06-30,6628.125,-4691.18552594304,2263.4814,80.42076,5514.135,"AltF80",1925,6
1925-07-31,5000,-6479.71580883798,5514.135,85.468895,9880.194,"AltF80",1925,7
1925-08-31,3500,-3645.29373331454,9880.194,88.72077,13742.343,"AltF80",1925,8
1925-09-30,3000,-6250.11612691652,13742.343,92.26651,9955.655,"AltF80",1925,9
1925-10-31,4000,-4120.22183775711,9955.655,92.745865,10358.051,"AltF80",1925,10
1925-11-30,5315.49389265471,-3797.80633272028,10358.051,92.148766,9933.27,"AltF80",1925,11
1925-12-31,6240.61755334956,-2991.11553432106,9933.27,90.9921,8326.217,"AltF80",1925,12
1926-01-31,14032.7339835612,-5000,8326.217,81.522255,3375.4893,"AltF80",1926,1
1926-02-28,42046.1878838554,-4427.32142857143,3375.4893,60.26896,1151.4513,"AltF80",1926,2
1926-03-31,17755.5792222878,-3935,1151.4513,65.22279,1015.17303,"AltF80",1926,3
1926-04-30,21148.9868619437,-1997.6234511516,1015.17303,65.904854,1800.7162,"AltF80",1926,4
1926-05-31,11759.5923274519,-2749.53039514961,1800.7162,72.79841,2856.958,"AltF80",1926,5
1926-06-30,7100,-5000,2856.958,80.98924,5852.577,"AltF80",1926,6
1926-07-31,5000,-6114.58303563079,5852.577,85.33101,10316.23,"AltF80",1926,7
1926-08-31,3500,-3170.21623650582,10316.23,88.94387,13616.365,"AltF80",1926,8
1926-09-30,3000,-4974.35176221295,13616.365,92.39903,10501.149,"AltF80",1926,9
1926-10-31,4335.78273716842,-2757.54057632286,10501.149,92.434074,10498.316,"AltF80",1926,10
1926-11-30,15727.4589892952,-8627.85922906996,10498.316,80.4363,3900.0623,"AltF80",1926,11
1926-12-31,11831.1974716424,-5290.32258064516,3900.0623,75.36159,3303.7578,"AltF80",1926,12
1927-01-31,34126.722563587,-4516.12903225806,3303.7578,62.392185,2304.7146,"AltF80",1927,1
1927-02-28,167390.707203551,-4156.25,2304.7146,51.70171,300.47153,"AltF80",1927,2
1927-03-31,50654.859238355,-3500,300.47153,55.907425,238.54132,"AltF80",1927,3
1927-04-30,49402.1004499118,-3724.76386872746,238.54132,56.254387,288.45068,"AltF80",1927,4
1927-05-31,17508.1372360624,-2593.60192008975,288.45068,65.6495,978.7712,"AltF80",1927,5
1927-06-30,6989.23516557396,-5000,978.7712,77.995125,3845.3167,"AltF80",1927,6
1927-07-31,10125.5350089674,-9632.32014268402,3845.3167,80.38349,7763.1763,"AltF80",1927,7
1927-08-31,5655.05133456079,-11345.290551758,7763.1763,82.50878,8806.181,"AltF80",1927,8
1927-09-30,10937.5,-4013.43353385677,8806.181,79.97036,9508.358,"AltF80",1927,9
1927-10-31,7968.75,-4676.48924980768,9508.358,79.98053,8090.766,"AltF80",1927,10
1927-11-30,5548.64465341793,-9491.01434033649,8090.766,84.75936,9523.268,"AltF80",1927,11
1927-12-31,5170.17703038322,-8799.5962311676,9523.268,87.10638,11644.552,"AltF80",1927,12
1928-01-31,18498.276249471,-3645.16129032258,11644.552,76.18436,2812.363,"AltF80",1928,1
1928-02-29,19236.0311737823,-4172.41379310345,2812.363,67.21668,1524.8486,"AltF80",1928,2
1928-03-31,88114.2314064261,-3500,1524.8486,54.265884,451.8923,"AltF80",1928,3
1928-04-30,31111.618116713,-2249.7022943536,451.8923,59.764805,418.3317,"AltF80",1928,4
1928-05-31,13566.6895959706,-2332.51087333515,418.3317,69.33274,1817.1312,"AltF80",1928,5
1928-06-30,7504.76993021483,-5000,1817.1312,79.267525,5157.091,"AltF80",1928,6
1928-07-31,11250,-8533.23843297761,5157.091,80.03142,3027.333,"AltF80",1928,7
1928-08-31,5885.52134622725,-11349.3349778094,3027.333,83.23308,3678.6008,"AltF80",1928,8
1928-09-30,11093.75,-4902.22879158544,3678.6008,79.94593,7543.5933,"AltF80",1928,9
1928-10-31,8125,-2610.69296619456,7543.5933,79.99329,7512.975,"AltF80",1928,10
1928-11-30,6245.58461233385,-8369.90801001784,7512.975,84.4971,9115.48,"AltF80",1928,11
1928-12-31,5039.74946301788,-7453.60760762674,9115.48,86.84942,10857.069,"AltF80",1928,12
1929-01-31,8632.51920666725,-4757.26037361557,10857.069,86.36618,5814.833,"AltF80",1929,1
1929-02-28,14968.0539091509,-4316.42857142857,5814.833,78.96704,2436.2305,"AltF80",1929,2
1929-03-31,8486.95043947115,-3717.86219283933,2436.2305,77.915016,3664.7385,"AltF80",1929,3
1929-04-30,7100,-931.249391458768,3664.7385,82.406105,7843.4497,"AltF80",1929,4
1929-05-31,4053.60646370284,-2102.58588253086,7843.4497,87.57188,10825.198,"AltF80",1929,5
