"Cohort_Year","scenario","Outflow_Jun0Aug0","OMR_AprMar","OMR_Jun","OMR_DecJan","OMR_Feb","OMR_Mar"
1995,"AltF74",1225565.01071826,-1928.45750929447,-4247.1440355845,-4903.22580645161,-4048.27586206897,-3500
1995,"AltF80",1207593.08489021,-1924.72072681689,-4242.67788033863,-4903.22580645161,-3753.96986666281,-3500
1995,"AltNoX2",1164681.58633205,-1922.88095369265,-4232.8800736305,-4903.22580645161,-3744.24723422478,-3500
1995,"AltS74",1494729.83558237,-1929.57148654592,-4248.38010920812,-4903.22580645161,-4048.27586206897,-3500
1995,"AltS74F80",1493584.37747992,-1975.27694704334,-4262.18219030251,-4903.22580645161,-4048.27586206897,-3500
1996,"AltF74",680682.163540601,-1174.93345540949,-4898.46797816859,11418.2765224434,729.560217393027,-3500
1996,"AltF80",658568.938559101,-1171.72922682937,-4885.25741024849,11565.4081336149,3501.88675366706,-3500
1996,"AltNoX2",610474.65073578,-1168.50062938839,-4881.76330570742,11838.7963568931,3518.12238439826,-3500
1996,"AltS74",1075321.06933594,-1175.73439345179,-4900.01773759642,11412.8773627764,3337.63737856038,-3500
1996,"AltS74F80",1075321.06933594,-1177.32035771677,-4904.94520081084,11401.0787667012,93.5918059970996,-3500
1997,"AltF74",806536.697987648,-1970.77196343929,-4549.99666248147,-4903.22580645161,3690.01490030458,-3500
1997,"AltF80",784357.732521614,-1970.34873929119,-4549.87081244444,-4903.22580645161,3701.20042403339,-3500
1997,"AltNoX2",732795.35484085,-1967.95858452748,-4549.68438075927,-4903.22580645161,3721.07579642455,-3500
1997,"AltS74",1126787.0693996,-1972.39258974097,-4550.02160803702,-4903.22580645161,3683.81941721477,-3500
1997,"AltS74F80",1127164.07294937,-1973.59576803237,-4550.15859344443,-4903.22580645162,3672.51112033927,-3500
1998,"AltF74",2181618.96515903,-1440.82362335729,-1966.59075894007,-4903.22580645161,-4033.03571428571,-3500
1998,"AltF80",2134007.98647673,-1435.34429104651,-1959.98049513695,-4903.22580645161,-4033.03571428571,-3500
1998,"AltNoX2",2136728.282055,-1425.2979559137,-1947.84650588662,-4903.22580645161,-4033.03571428571,-3500
1998,"AltS74",2229021.62809959,-1444.22280159174,-1970.84973345534,-4903.22580645161,-4033.03571428571,-3500
1998,"AltS74F80",2227659.3753957,-1449.85637456004,-1977.73394189566,-4903.22580645161,-4033.03571428571,-3500
1999,"AltF74",734832.803271693,-2210.91561294809,-4693.80277775753,-4900.22181412754,-4172.41379310345,-3500
1999,"AltF80",726084.523100327,-2210.10146721778,-5000,-4282.96457682477,-4172.41379310345,-3500
1999,"AltNoX2",672742.072848985,-2208.5381234957,-5000,-4958.17151120757,-4172.41379310345,-3500
1999,"AltS74",1089886.07808498,-2211.98476305298,-4693.80277775755,-3885.27542710611,-4172.41379310345,-3500
1999,"AltS74F80",1089886.07808498,-2212.88974168684,-4693.80277775753,-4485.43390371943,-4172.41379310345,-3500
2000,"AltF74",804906.066096636,-1624.6930100423,-4693.80277775753,-5461.10239694726,-4316.42857142857,-3935
2000,"AltF80",790417.259736423,-1624.5723216855,-5000,-4523.85773815518,-4316.42857142857,-3935
2000,"AltNoX2",722168.451234849,-1618.68500168478,-5000,-4144.07685187043,-4316.42857142857,-3935
2000,"AltS74",1223732.55530101,-1624.86922233317,-4693.80277775753,-4264.22728622686,-4316.42857142857,-3935
2000,"AltS74F80",1225771.12726911,-1627.58709973519,-4689.4333333128,-5233.68578023396,-4316.42857142857,-3935
2001,"AltF74",525343.785168386,-2130.58612046665,-3282.15394803836,-4903.22580645161,-4156.25,-3500
2001,"AltF80",525770.932986298,-2131.60198042669,-3513.21113534068,-4903.22580645161,-4156.25,-3500
2001,"AltNoX2",476500,-2137.10244960538,-4167.46073296041,-4903.22580645161,-4156.25,-3500
2001,"AltS74",476500,-2133.17926503915,-2811.57992921258,-4903.22580645161,-4156.25,-3500
2001,"AltS74F80",491796.549849575,-2128.41548377264,-3304.47942482815,-4903.22580645161,-4156.25,-3500
2002,"AltF74",545105.117635195,-2157.07111979847,-5000,-4903.22580645161,-4033.03571428571,-3500
2002,"AltF80",545123.269360972,-2158.27262148733,-5000,-4903.22580645161,-4033.03571428571,-3500
2002,"AltNoX2",597110.39442805,-2159.1488249598,-5000,-4903.22580645161,-4033.03571428571,-3500
2002,"AltS74",545112.269027116,-2155.66334928269,-5000,-4903.22580645161,-4033.03571428571,-3500
2002,"AltS74F80",545102.470149136,-2154.76779093815,-5000,-4903.22580645161,-4033.03571428571,-3500
2003,"AltF74",787549.258995914,-2137.3495547491,-4689.4333333128,-4903.22580645161,-4172.41379310345,-3500
2003,"AltF80",769839.343031215,-2138.33744757378,-5000,-4903.22580645161,-4172.41379310345,-3500
2003,"AltNoX2",708477.693005789,-2139.9977100283,-5000,-4903.22580645161,-4172.41379310345,-3500
2003,"AltS74",1204447.67488185,-2136.75752953946,-4689.4333333128,-4903.22580645161,-4172.41379310345,-3500
2003,"AltS74F80",1209291.42488185,-2135.8742145737,-4689.4333333128,-4903.22580645161,-4172.41379310345,-3500
2004,"AltF74",858800.937075953,-2233.2607834038,-4689.4333333128,-4903.22580645161,-4156.25,-3500
2004,"AltF80",834422.315863511,-2234.77930224724,-4689.4333333128,-4903.2258064516,-4156.25,-3500
2004,"AltNoX2",792337.908406809,-2239.38139771247,-4689.43333331279,-4903.22580645161,-4156.25,-3500
2004,"AltS74",1270153.24954003,-2231.52822089696,-4689.4333333128,-4903.22580645161,-4156.25,-3500
2004,"AltS74F80",1270616.06608886,-2233.6329309951,-4689.4333333128,-4903.22580645161,-4156.25,-3500
2005,"AltF74",908540.169166971,-1998.5882622099,-5000,-4903.22580645161,-4464.28571428571,-1642.23290890528
2005,"AltF80",900106.461857137,-1999.8449509304,-5000,-4903.22580645161,-4464.28571428571,-1306.00808521061
2005,"AltNoX2",895894.781516039,-2001.50675824426,-5000,-4903.22580645161,-4464.28571428572,-911.386571621402
2005,"AltS74",908539.415888117,-1999.38259811621,-5000,-4903.22580645161,-4464.28571428571,-1933.73148648184
2005,"AltS74F80",908535.094596902,-1998.49574527496,-5000,-4903.22580645161,-4464.28571428571,-1648.80917775988
2006,"AltF74",789626.578734,3747.08708910944,-4116.83704156508,-5145.16129032258,-4156.25,-3500
2006,"AltF80",768845.331934,3754.23101195348,-4113.48118644666,-5145.16129032258,-4156.25,-3500
2006,"AltNoX2",722032.833334,3769.36953872805,-4106.01665274926,-5145.16129032258,-4156.25,-3500
2006,"AltS74",1139168.25,3743.54156268708,-4119.14450617355,-5145.16129032258,-4156.25,-3500
2006,"AltS74F80",1139168.25,3735.06215750356,-4123.31570213,-5145.16129032258,-4156.25,-3500
2007,"AltF74",632116.415790462,-2329.61028361816,-5000,-3765.86512064663,-4172.41379310345,-3935
2007,"AltF80",630281.624987711,-2337.12206017903,-5000,-3641.95548704619,-4172.41379310345,-3935
2007,"AltNoX2",637452.576081402,-2338.91607461097,-5000,-3490.95805634746,-4172.41379310345,-3935
2007,"AltS74",637586.088876715,-2326.55531939001,-5000,-3631.60934841639,-4172.41379310345,-3935
2007,"AltS74F80",636659.817428917,-2324.91851197497,-5000,-3652.81447145609,-4172.41379310345,-3935
2008,"AltF74",485050.032309332,-1722.20783183315,-5000,-2565.01564160364,-4427.32142857143,-3935
2008,"AltF80",485118.745194279,-1719.86832501847,-5000,-2560.91706460138,-4427.32142857143,-3935
2008,"AltNoX2",487068.91114657,-1588.36802536747,-4979.72615283193,-2553.99363666232,-4427.32142857143,-3935
2008,"AltS74",484996.832224045,-1719.35710161818,-5000,-2568.30089117901,-4427.32142857143,-3935
2008,"AltS74F80",484926.808790881,-1722.12028466444,-5000,-2561.1442703918,-4427.32142857143,-3935
2009,"AltF74",548850.01,-2192.34074039376,-5000,-3848.43442138625,-4156.25,-3500
2009,"AltF80",548850.01,-2211.22794757057,-5000,-3852.02386128564,-4156.25,-3500
2009,"AltNoX2",548850.01,-2221.31499140719,-5000,-3852.63494546935,-4156.25,-3500
2009,"AltS74",548850.01,-2222.39236268795,-5000,-3849.23863783519,-4156.25,-3500
2009,"AltS74F80",548850.01,-2198.52394400688,-5000,-3837.78652702973,-4156.25,-3500
2010,"AltF74",632382.26887318,-1815.48245239287,-5000.00000000001,-4903.22580645161,-1758.82155626225,2630.96170578511
2010,"AltF80",632089.299805011,-1813.99790938674,-5000,-4903.22580645161,-1752.55773059207,2633.47262745228
2010,"AltNoX2",631491.567922708,-1813.03201775513,-5000,-4903.22580645161,-1764.21187350454,2636.27003879011
2010,"AltS74",632426.464217106,-1817.79413946352,-5000,-4903.22580645161,-1806.63856732247,2628.29019130051
2010,"AltS74F80",632764.346792404,-1802.65940321445,-5000,-4903.22580645161,-1761.42980046049,2619.76805005672
2011,"AltF74",1428131.56198982,-2517.33287722833,-5000,-7155.43430744245,-4446.08905870998,-3935
2011,"AltF80",1410677.37018763,-2515.03803351369,-5000,-5336.18294037863,-4429.00450635872,-3935
2011,"AltNoX2",1411337.09406135,-2511.10603297939,-5000,-5305.5124694888,-4433.2554187549,-3935
2011,"AltS74",1682325.39636265,-2518.29401208184,-5000,-5581.61911050495,-4446.59700266508,-3935
2011,"AltS74F80",1682043.57518738,-2520.58096491409,-5000,-6197.97220798979,-4450.04617658927,-3935
2012,"AltF74",610092.701374747,-2189.43670510114,-5000,-4903.22580645161,-4475,-3500
2012,"AltF80",617426.404894389,-2192.1562014183,-5000,-4903.22580645161,-4475,-3500
2012,"AltNoX2",615436.202454921,-2195.50485882808,-5000,-4903.22580645161,-4475,-3500
2012,"AltS74",619672.117456388,-2191.24498382365,-5000,-4903.22580645161,-4475,-3500
2012,"AltS74F80",621568.707861602,-2188.63175436347,-5000,-4903.22580645161,-4475,-3500
2013,"AltF74",476500,-2224.85862012492,-5000,-1822.02492912259,-3035.86112854597,-4625
2013,"AltF80",476500,-2226.90277476164,-5000,-1928.49677123043,-3143.34832377579,-4625
2013,"AltNoX2",476500,-2229.60540083009,-5000,-1788.69488532166,-3453.20256613693,-4625
