Alternatives,Objective,Hypothesis,Score
Alt F80,DeltaSmelt,H1,0.836587409
Alt F74,DeltaSmelt,H1,0.855507276
Alt S74,DeltaSmelt,H1,0.873141853
Alt S74F80,DeltaSmelt,H1,0.894764472
Alt NoX2,DeltaSmelt,H1,0.822323323
Alt F80,DeltaSmelt,H2,0.817522338
Alt F74,DeltaSmelt,H2,0.843628796
Alt S74,DeltaSmelt,H2,0.870529750
Alt S74F80,DeltaSmelt,H2,0.870368580
Alt NoX2,DeltaSmelt,H2,0.815455648
Alt F80,DeltaSmelt,H3,0.943317315
Alt F74,DeltaSmelt,H3,0.932149359
Alt S74,DeltaSmelt,H3,0.921048740
Alt S74F80,DeltaSmelt,H3,0.941391866
Alt NoX2,DeltaSmelt,H3,0.918081807
Alt F80,DeltaSmelt,H4,0.920415504
Alt F74,DeltaSmelt,H4,0.917547816
Alt S74,DeltaSmelt,H4,0.916755393
Alt S74F80,DeltaSmelt,H4,0.908877054
Alt NoX2,DeltaSmelt,H4,0.914579951
Alt F80,DeltaSmelt,H5,0.828714498
Alt F74,DeltaSmelt,H5,0.843914785
Alt S74,DeltaSmelt,H5,0.878717285
Alt S74F80,DeltaSmelt,H5,0.899626847
Alt NoX2,DeltaSmelt,H5,0.796831226
Alt F80,DeltaSmelt,H6,0.788652575
Alt F74,DeltaSmelt,H6,0.811486190
Alt S74,DeltaSmelt,H6,0.846093037
Alt S74F80,DeltaSmelt,H6,0.847694829
Alt NoX2,DeltaSmelt,H6,0.787119392
Alt F80,DeltaSmelt,H7,0.968067252
Alt F74,DeltaSmelt,H7,0.949440017
Alt S74,DeltaSmelt,H7,0.949380449
Alt S74F80,DeltaSmelt,H7,0.975903817
Alt NoX2,DeltaSmelt,H7,0.923563336
Alt F80,DeltaSmelt,H8,0.920603351
Alt F74,DeltaSmelt,H8,0.919448930
Alt S74,DeltaSmelt,H8,0.918381479
Alt S74F80,DeltaSmelt,H8,0.923114325
Alt NoX2,DeltaSmelt,H8,0.920102769
Alt F80,WaterCost,H1,728
Alt F74,WaterCost,H1,1279
Alt S74,WaterCost,H1,859
Alt S74F80,WaterCost,H1,1382
Alt NoX2,WaterCost,H1,0
Alt F80,WaterCost,H2,728
Alt F74,WaterCost,H2,1279
Alt S74,WaterCost,H2,859
Alt S74F80,WaterCost,H2,1382
Alt NoX2,WaterCost,H2,0
Alt F80,WaterCost,H3,728
Alt F74,WaterCost,H3,1279
Alt S74,WaterCost,H3,859
Alt S74F80,WaterCost,H3,1382
Alt NoX2,WaterCost,H3,0
Alt F80,WaterCost,H4,728
Alt F74,WaterCost,H4,1279
Alt S74,WaterCost,H4,859
Alt S74F80,WaterCost,H4,1382
Alt NoX2,WaterCost,H4,0
Alt F80,WaterCost,H5,728
Alt F74,WaterCost,H5,1279
Alt S74,WaterCost,H5,859
Alt S74F80,WaterCost,H5,1382
Alt NoX2,WaterCost,H5,0
Alt F80,WaterCost,H6,728
Alt F74,WaterCost,H6,1279
Alt S74,WaterCost,H6,859
Alt S74F80,WaterCost,H6,1382
Alt NoX2,WaterCost,H6,0
Alt F80,WaterCost,H7,728
Alt F74,WaterCost,H7,1279
Alt S74,WaterCost,H7,859
Alt S74F80,WaterCost,H7,1382
Alt NoX2,WaterCost,H7,0
Alt F80,WaterCost,H8,728
Alt F74,WaterCost,H8,1279
Alt S74,WaterCost,H8,859
Alt S74F80,WaterCost,H8,1382
Alt NoX2,WaterCost,H8,0
