"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltF74",1995,-3645.16129032258,-4464.28571428571,-3378.91084912691,-3995,138.084981411061,-4247.1440355845,-9234.19612571141,-10909.3679849127,-7274.37674172622,-3422.69921720986,-10000.4196179833,-5290.32258064516
"AltF74",1996,-4516.12903225806,-4048.27586206897,-3500,-1030.1893944002,-1319.67751641878,-4898.46797816859,-10855.1989293347,-10572.5516635327,-9307.4137777291,-4346.12148062852,-8720.36636732702,-1950.43093448432
"AltF74",1997,24786.9839793712,729.560217393027,-3500,-1570.03081081576,-2371.51311606282,-4549.99666248147,-10821.9208777777,-10286.874514297,-4612.19748763794,-4308.08837826479,-8911.50841825677,-5290.32258064516
"AltF74",1998,-4516.12903225806,3690.01490030458,-3500,-2934.49804061919,52.8507939046086,-1966.59075894007,-8165.57330834586,-7924.9797024189,-9701.04313716422,-8818.26106082989,-8773.81640103223,-5290.32258064516
"AltF74",1999,-4516.12903225807,-4033.03571428571,-3500,-2363.61612198376,-2058.21510391242,-4693.80277775753,-10564.0974748233,-9770.45786150191,-7556.53343629473,-5164.51994189232,-9207.35952258185,-6155.2823379325
"AltF74",2000,-3645.16129032258,-4172.41379310345,-3500,-1123.46754252464,-2125.91847755996,-4693.80277775753,-10129.6073267869,-9746.34536747541,-3381.97597264678,-3522.8523018528,-8440.979662504,-5922.20479389451
"AltF74",2001,-5000,-4316.42857142857,-3935,-1998.35303179968,-2262.81920913362,-3282.15394803836,-4893.71551614429,-3759.23818531693,-5038.24061728949,-4009.05325177399,-5554.65978683474,-5290.32258064516
"AltF74",2002,-4516.12903225806,-4156.25,-3500,-2412.11060497683,-1902.0316346201,-5000,-7015.55879642889,-5486.9788582995,-5331.35879909259,-4061.54766812768,-4673.53088465945,-5290.32258064516
"AltF74",2003,-4516.12903225806,-4033.03571428571,-3500,-2287.4341778013,-1987.2649316969,-4689.4333333128,-10370.6909421198,-11382.4983001378,-6624.59474956549,-3010.4824744722,-7564.60615720648,-5290.32258064516
"AltF74",2004,-4516.12903225806,-4172.41379310345,-3500,-2507.40892768498,-1959.11263912261,-4689.4333333128,-11395.6000941025,-11523.3615222773,-4219.89824016515,-4554.63763713674,-7340.10839403672,-5290.32258064516
"AltF74",2005,-4516.12903225806,-4156.25,-3500,-541.107383530374,-3456.06914088943,-5000,-8737.56738554031,-10473.9938737212,-8169.0298119294,-7594.93860503649,-7665.39310434822,-5290.32258064516
"AltF74",2006,-4516.12903225806,-4464.28571428571,-1642.23290890528,2784.81166044357,4709.36251777531,-4116.83704156508,-7459.91906442487,-10772.8921708807,-7380.70828282686,-4368.13656446587,-9358.74045040004,-5290.32258064516
"AltF74",2007,-5000,-4156.25,-3500,-2166.94307591594,-2492.27749132039,-5000,-11101.7438938518,-6680.27888625752,-5564.84428294217,-4225.6114123901,-3058.56901049176,-3886.56895097068
"AltF74",2008,-3645.16129032258,-4172.41379310345,-3935,-2381.3312973903,-1063.084366276,-5000,-5757.88035900606,-3606.13625570522,-4457.050238647,-2029.46215554716,-2399.83117589911,-2676.25846854364
"AltF74",2009,-2453.77281466364,-4427.32142857143,-3935,-2534.93680404857,-1849.74467673894,-5000,-5795.47997722044,-3674.03066558345,-4756.49142725133,-5137.50875467958,-3402.0977975719,-4051.70755244993
"AltF74",2010,-3645.16129032258,-4156.25,-3500,-1584.39595010715,-2046.56895467858,-5000.00000000001,-9679.68121845976,-10580.4886933169,-9110.95674112562,-9408.80520854056,-9105.02070846729,-5290.32258064516
"AltF74",2011,-4516.12903225806,-1758.82155626225,2630.96170578511,-3836.4393424903,-1198.22641196635,-5000,-9695.13495049301,-9787.64300791222,-7338.49422088608,-6463.72807193525,-9373.06906868779,-9310.86861488491
"AltF74",2012,-5000,-4446.08905870998,-3935,-2062.32907834741,-2316.54433185487,-5000,-10987.1940119913,-10929.4371675785,-6023.4717379398,-5381.73308846299,-5924.97431348845,-5290.32258064516
"AltF74",2013,-4516.12903225806,-4475,-3500,-1873.73911433197,-2575.97812591786,-5000,-5888.19651461153,-5108.43901520197,-5311.5899947402,-2281.46026688575,-2310.46824343959,-2778.56622073252
