"scenario","year","1","2","3","4","5","6","7","8","9","10","11","12"
"AltF74",1995,53.586666,54.7279,51.57147,54.60188,54.01201,61.658577,74.385635,82.51832,74.01046,73.93814,83.60145,66.57289
"AltF74",1996,58.173122,52.2514,53.767384,58.257793,57.181637,73.287056,81.76607,82.7989,73.77196,74.00965,81.073494,54.04567
"AltF74",1997,48.812283,54.06882,63.116898,69.93371,76.70113,79.37184,78.91601,81.959366,73.98344,74.000824,80.22489,74.297516
"AltF74",1998,54.519527,49.16695,52.937428,55.942085,54.35002,56.024033,68.25344,75.64932,73.86275,74.01661,65.31571,60.269474
"AltF74",1999,58.10056,52.51408,54.030796,62.12618,69.20625,78.21493,80.298874,82.15201,74.079834,73.918015,82.57609,87.62054
"AltF74",2000,70.8696,53.140305,53.34729,63.30388,71.645584,79.402374,79.91338,82.609566,74.09394,73.963875,83.63828,88.23933
"AltF74",2001,81.843895,66.76618,64.69852,72.878586,78.5411,81.87966,86.23957,89.67819,91.86134,92.5551,89.721565,65.06551
"AltF74",2002,57.161613,64.94471,67.54461,74.48443,79.07266,81.96345,84.939186,89.02364,91.72302,92.49892,91.30755,62.989986
"AltF74",2003,55.375214,62.41204,65.8162,61.140556,60.262737,73.87234,79.463974,82.38943,74.01517,73.97755,83.06556,68.4922
"AltF74",2004,60.164898,53.543217,56.404842,67.1346,77.46415,80.24698,79.899765,82.48438,74.03869,74.06719,83.22145,74.4107
"AltF74",2005,59.399536,60.990307,58.64196,62.867863,57.60257,64.6335,79.77556,86.60964,89.15593,91.637375,91.542915,56.52273
"AltF74",2006,52.33348,54.68976,52.495987,52.189407,56.16309,69.424805,79.11795,82.87169,73.840836,73.9452,82.6715,74.74106
"AltF74",2007,78.80035,68.53153,69.69782,76.22513,77.85538,81.558784,82.24299,86.54804,90.78734,92.53058,92.40758,89.5944
"AltF74",2008,67.8036,63.448883,69.160835,76.421135,79.898834,82.589584,86.150566,90.39366,92.508156,92.632545,92.16139,90.03941
"AltF74",2009,87.68803,68.89718,63.10811,67.88573,77.208565,80.46273,83.93161,88.72023,91.73164,92.09116,92.80581,91.166664
"AltF74",2010,68.13656,60.659668,64.91743,62.916027,65.494736,74.98014,83.126915,86.14456,87.87926,84.72253,83.871376,56.818222
"AltF74",2011,59.003735,57.962486,52.46535,56.260838,58.049725,60.453735,72.94626,82.22004,74.00033,73.995674,82.85616,87.60395
"AltF74",2012,83.99811,81.03466,69.15943,65.58198,71.090324,80.98259,82.01189,85.97727,89.73028,91.839775,90.85714,58.565456
"AltF74",2013,63.87625,67.81696,76.20294,79.2007,79.56145,82.213936,85.896,90.310585,92.11966,92.15681,91.98626,89.93341
"AltF74",2014,89.58016,80.9959,72.92659,78.58843,86.77886,90.42578,93.25002,93.42743,92.82209,93.811485,93.81226,63.9619
"AltF80",1995,53.31712,54.72002,51.57816,54.598415,54.007317,61.646183,74.678566,82.94839,79.932045,80.02473,85.96049,66.71551
"AltF80",1996,57.822865,52.203693,53.7584,58.247524,57.175163,73.28573,81.77367,83.41692,79.92787,80.01539,80.371895,53.71547
"AltF80",1997,48.810223,53.869507,63.051476,69.923546,76.6762,79.378586,78.91959,82.57784,80.03408,79.94759,82.388306,74.450035
"AltF80",1998,54.157978,49.161774,52.936844,55.93612,54.341766,56.01726,68.228004,77.33174,73.08169,73.29028,65.29448,60.2656
"AltF80",1999,58.096733,52.513676,54.030045,62.12097,69.193985,78.5094,79.99961,82.29045,80.05491,79.95822,84.755325,87.54345
"AltF80",2000,68.75164,52.946693,53.326874,63.26134,71.595764,79.6988,79.76455,82.88486,79.972336,80.099495,86.2244,87.46836
"AltF80",2001,81.69068,66.54824,64.66511,72.867424,78.54882,81.88417,86.23843,89.6658,91.85059,92.55095,89.722336,63.720123
"AltF80",2002,56.99877,64.89102,67.49112,74.47234,79.05351,81.95153,84.93449,89.01915,91.61529,92.40625,91.072845,62.82704
"AltF80",2003,55.361782,62.39862,65.59805,60.9706,60.231327,74.111694,79.375206,82.75928,80.00659,79.905914,85.11826,67.516014
"AltF80",2004,59.61775,53.43652,56.372326,67.105225,77.43568,80.25691,79.899414,83.13372,79.968315,80.03753,85.63985,74.75066
"AltF80",2005,59.328014,60.96424,58.634575,62.882545,56.938576,64.64486,79.792145,86.59528,88.31021,90.20769,91.326096,56.50542
"AltF80",2006,52.457855,54.66254,52.48941,52.18834,56.159336,69.42308,79.43558,83.38087,79.70143,80.00219,84.85151,74.986046
"AltF80",2007,78.8855,68.54693,69.682045,76.21861,77.85958,81.56076,82.29658,86.59026,90.32156,92.15453,92.381134,89.295494
"AltF80",2008,67.623276,63.442013,69.15902,76.47712,79.90404,82.57442,86.15067,90.3894,92.505005,92.63182,92.16106,90.03363
"AltF80",2009,87.6944,68.88884,63.10398,67.914345,77.2646,80.4865,83.93553,88.72968,91.73356,92.07305,92.79116,91.16393
"AltF80",2010,68.13156,60.690926,64.923676,62.913265,65.490265,74.96961,83.123085,86.16207,87.8944,84.71247,83.88445,56.81603
"AltF80",2011,59.000416,57.95882,52.464912,56.258293,58.04693,60.449726,72.9445,82.73435,79.9233,80.05424,85.14677,89.44281
"AltF80",2012,85.8065,81.53327,66.61943,64.76731,72.25482,81.01122,82.23342,86.29315,89.264694,91.45667,90.643456,58.432255
"AltF80",2013,63.85608,67.814865,76.19163,79.20474,79.5641,82.21268,85.896194,90.310646,92.08694,92.13034,92.111534,90.00663
"AltF80",2014,89.33079,80.9764,72.98509,78.580444,86.77597,90.42298,93.24837,93.42729,92.82207,93.811485,93.814995,63.95943
"AltNoX2",1995,53.201588,54.423542,51.580708,54.597305,54.003704,61.632618,74.65014,84.174774,85.13038,87.08194,90.49084,67.87253
