Year	Mar0	Apr	May	Jun	Dec	Jan	Feb	Mar1
1994	NA	NA	NA	NA	NA	NA	0.03836	0.10374
1995	0.00237	0.00237	0.00237	0.00021	0.11297	0.11297	0.06927	0.02244
1996	0.02863	0.02863	0.02863	0.00316	0.00353	0.00353	0.00744	0.18504
1997	0.03455	0.03455	0.03455	0.00404	0.04485	0.04485	0.01087	0.05870
1998	0.00164	0.00164	0.00164	0.00049	0.01188	0.01188	0.10305	0.12658
1999	0.09516	0.09516	0.09516	0.02233	0.01848	0.01848	0.27266	0.21215
2000	0.09926	0.09926	0.09926	0.00810	0.02059	0.02059	0.24965	0.51168
2001	0.05393	0.05393	0.05393	0.01099	0.27067	0.27067	0.11020	0.15307
2002	0.16288	0.16288	0.16288	0.00816	0.16478	0.16478	0.17285	0.25051
2003	0.11806	0.11806	0.11806	0.01193	0.25833	0.25833	0.23127	0.41339
2004	0.02920	0.02920	0.02920	0.00619	0.15252	0.15252	0.09624	0.06305
2005	0.00606	0.00606	0.00606	0.00125	0.02166	0.02166	0.08146	0.10919
2006	0.00155	0.00155	0.00155	0.00018	0.00989	0.00989	0.02160	0.02283
2007	0.00903	0.00903	0.00903	0.00236	0.01675	0.01675	0.25647	0.12801
2008	0.01316	0.01316	0.01316	0.00169	0.00386	0.00386	0.00669	0.08581
2009	0.00490	0.00490	0.00490	0.00092	0.00281	0.00281	0.05562	0.05368
2010	0.00268	0.00268	0.00268	0.00010	0.00590	0.00590	0.01946	0.04612
2011	0.00516	0.00516	0.00516	0.00026	0.00344	0.00344	0.02507	0.03789
2012	0.02354	0.02354	0.02354	0.00129	0.05250	0.05250	0.02635	0.01396
2013	0.01322	0.01322	0.01322	0.00022	0.00259	0.00259	0.00588	0.02103
2014	0.00406	0.00406	0.00406	0.00004	0.03074	0.03074	0.04531	0.02591
2015	0.01649	0.01649	0.01649	0.00015	0.01915	0.01915	0.08862	0.09291
2016	NA	NA	NA	NA	NA	NA	NA	NA
