Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1995	68.90	53.90	50.83	47.68	49.72	55.08	61.58	71.17	71.54	71.87	79.49	73.19
1996	69.07	55.64	49.79	56.52	60.42	65.34	74.68	77.26	78.21	84.77	82.05	67.47
1997	46.52	44.81	55.64	68.53	72.31	76.47	77.62	77.73	83.35	86.24	83.22	74.26
1998	69.03	48.78	47.11	49.36	53.08	53.23	58.81	66.10	67.80	71.60	73.26	62.35
1999	64.00	56.06	52.42	58.73	63.94	69.76	74.81	79.23	84.49	86.24	83.73	79.07
2000	78.42	62.11	51.64	61.54	64.77	73.34	77.62	79.85	84.07	86.90	85.04	83.86
2001	79.65	74.42	67.77	73.79	75.59	78.40	82.57	87.48	88.20	88.08	84.63	73.60
2002	64.19	72.36	71.66	73.45	73.82	77.13	81.22	84.88	87.84	86.58	84.43	79.60
2003	62.53	62.30	68.51	71.00	62.66	69.05	76.58	78.58	85.60	88.20	84.31	76.34
2004	65.14	65.59	56.69	64.65	70.85	81.14	80.15	82.12	84.65	84.04	80.63	81.04
2005	69.53	67.51	64.39	62.25	62.01	60.96	71.86	79.83	81.55	83.55	86.39	78.78
2006	54.66	55.08	52.71	45.95	48.35	56.91	69.25	76.67	78.87	83.64	86.09	83.08
2007	79.01	75.18	71.40	75.17	75.98	78.54	81.61	86.50	86.16	88.45	87.87	85.75
2008	74.90	68.31	71.28	76.52	77.85	79.48	84.42	89.13	88.43	89.69	87.21	85.21
2009	83.55	76.88	69.08	74.45	72.19	76.44	81.87	85.30	87.36	85.68	86.22	84.33
2010	78.73	65.84	67.73	69.94	67.35	69.15	77.65	83.53	85.49	85.26	84.05	71.92
2011	60.48	65.58	58.85	50.79	55.80	58.62	64.88	76.21	75.30	74.02	79.49	81.19
2012	81.24	75.80	74.42	67.25	69.99	77.93	79.37	82.36	86.72	86.16	85.33	70.72
2013	65.00	70.34	75.33	74.72	76.27	78.22	81.46	83.71	83.73	85.93	85.68	84.43
2014	85.39	80.70	76.66	79.34	84.15	85.05	85.63	88.12	89.49	88.24	84.40	74.18
2015	75.31	76.55	79.69	81.27	82.37	83.93	85.39	85.57	86.11	85.92	85.72	82.67
