Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1980	31	29	31	30	31	30	31	31	30	31	30	31
1981	31	28	31	30	31	30	31	31	30	31	30	31
1982	31	28	31	30	31	30	31	31	30	31	30	31
1983	31	28	31	30	31	30	31	31	30	31	30	31
1984	31	29	31	30	31	30	31	31	30	31	30	31
1985	31	28	31	30	31	30	31	31	30	31	30	31
1986	31	28	31	30	31	30	31	31	30	31	30	31
1987	31	28	31	30	31	30	31	31	30	31	30	31
1988	31	29	31	30	31	30	31	31	30	31	30	31
1989	31	28	31	30	31	30	31	31	30	31	30	31
1990	31	28	31	30	31	30	31	31	30	31	30	31
1991	31	28	31	30	31	30	31	31	30	31	30	31
1992	31	29	31	30	31	30	31	31	30	31	30	31
1993	31	28	31	30	31	30	31	31	30	31	30	31
1994	31	28	31	30	31	30	31	31	30	31	30	31
1995	31	28	31	30	31	30	31	31	30	31	30	31
1996	31	29	31	30	31	30	31	31	30	31	30	31
1997	31	28	31	30	31	30	31	31	30	31	30	31
1998	31	28	31	30	31	30	31	31	30	31	30	31
1999	31	28	31	30	31	30	31	31	30	31	30	31
2000	31	29	31	30	31	30	31	31	30	31	30	31
2001	31	28	31	30	31	30	31	31	30	31	30	31
2002	31	28	31	30	31	30	31	31	30	31	30	31
2003	31	28	31	30	31	30	31	31	30	31	30	31
2004	31	29	31	30	31	30	31	31	30	31	30	31
2005	31	28	31	30	31	30	31	31	30	31	30	31
2006	31	28	31	30	31	30	31	31	30	31	30	31
2007	31	28	31	30	31	30	31	31	30	31	30	31
2008	31	29	31	30	31	30	31	31	30	31	30	31
2009	31	28	31	30	31	30	31	31	30	31	30	31
2010	31	28	31	30	31	30	31	31	30	31	30	31
2011	31	28	31	30	31	30	31	31	30	31	30	31
2012	31	29	31	30	31	30	31	31	30	31	30	31
2013	31	28	31	30	31	30	31	31	30	31	30	31
2014	31	28	31	30	31	30	31	31	30	31	30	31
2015	31	28	31	30	31	30	31	31	30	31	30	31
2016	31	29	31	30	31	30	31	31	30	31	30	31
2017	31	28	31	30	31	30	31	31	30	31	30	31
2018	31	28	31	30	31	30	31	31	30	31	30	31
2019	31	28	31	30	31	30	31	31	30	31	30	31
